57 - ckmb52fldxkseven3fkjgcbzmnr7                       - ckmb52fldxkse7ven3fkjgcbzmnr7                     
48 - 4onersrfjcskckcxcj4sevenzzzpsixeight               - 4o1ersrfjcskckcxcj4se7venzzzpsi6xei8ght           
11 - 1fourr5gxpone                                      - 1fo4urr5gxpo1e                                    
76 - seven74ninersgvvmtgsix                             - se7ven74ni9nersgvvmtgsi6x                         
22 - jvtwonefivetwosbpglbx2two                          - jvt2o1efi5vet2osbpglbx2t2o                        
44 - fourfivecxgssssixtwofour4                          - fo4urfi5vecxgssssi6xt2ofo4ur4                     
38 - 3zcgcjdcpbgqdfnhxtneight                           - 3zcgcjdcpbgqdfnhxtnei8ght                         
44 - fourfour29cpbccthree44                             - fo4urfo4ur29cpbccth3ee44                          
65 - 6six9foureight5xmfdf                               - 6si6x9fo4urei8ght5xmfdf                           
47 - four77                                             - fo4ur77                                           
27 - tqtnjshdmtwo3four8one27                            - tqtnjshdmt2o3fo4ur8o1e27                          
12 - one52                                              - o1e52                                             
96 - nine32five3six                                     - ni9ne32fi5ve3si6x                                 
84 - qcjbjrpqdtpvveightpmzs17fourjvghvl                 - qcjbjrpqdtpvvei8ghtpmzs17fo4urjvghvl              
59 - 5293gmtdttfpmrlhvlt9                               - 5293gmtdttfpmrlhvlt9                              
25 - 2zonenfglkskxhn3gxbrtxtcpfive                      - 2zo1enfglkskxhn3gxbrtxtcpfi5ve                    
32 - three5cfourfvmqlnhp4two                            - th3ee5cfo4urfvmqlnhp4t2o                          
34 - three4knrdzxpr                                     - th3ee4knrdzxpr                                    
82 - fmpvqkxgeightthreebdrng9tdcffvsfctwo               - fmpvqkxgei8ghtth3eebdrng9tdcffvsfct2o             
83 - jpktgx8fivegqeight5three                           - jpktgx8fi5vegqei8ght5th3ee                        
79 - 7sevennine                                         - 7se7venni9ne                                      
33 - 3two3                                              - 3t2o3                                             
22 - nfthhzcq2                                          - nfthhzcq2                                         
19 - plmbtrzbnbmt1nine                                  - plmbtrzbnbmt1ni9ne                                
17 - 149hvjbktkmbj8mtnrblcvfive7seven                   - 149hvjbktkmbj8mtnrblcvfi5ve7se7ven                
31 - bfthree1                                           - bfth3ee1                                          
66 - six6kqprz86two6                                    - si6x6kqprz86t2o6                                  
36 - jthree6                                            - jth3ee6                                           
98 - nine2hzrlcqrt7eight                                - ni9ne2hzrlcqrt7ei8ght                             
85 - nnzhkhpdb8rbnqmxrfive                              - nnzhkhpdb8rbnqmxrfi5ve                            
11 - rkszqnp1                                           - rkszqnp1                                          
11 - t1                                                 - t1                                                
53 - 5sixlmxkgmxrgveight3                               - 5si6xlmxkgmxrgvei8ght3                            
78 - sevenlptpdhtjpgxconedvtrrnngn8                     - se7venlptpdhtjpgxco1edvtrrnngn8                   
74 - nlpvxbscttbbpgndnc7jvrtcjxbsxnqvfcxdcfrgtrdkjflzlrqcnmfourkznnmrv - nlpvxbscttbbpgndnc7jvrtcjxbsxnqvfcxdcfrgtrdkjflzlrqcnmfo4urkznnmrv
76 - 7kllgxpb6                                          - 7kllgxpb6                                         
26 - two4eightfgrsix1five7six                           - t2o4ei8ghtfgrsi6x1fi5ve7si6x                      
16 - one2three6hmktjgmbxhbjl                            - o1e2th3ee6hmktjgmbxhbjl                           
84 - bqjtxhntjreightsevendgcfpmkld14four                - bqjtxhntjrei8ghtse7vendgcfpmkld14fo4ur            
23 - 22pgcslxtdhkhz8ninethreethreejcklznxq              - 22pgcslxtdhkhz8ni9neth3eeth3eejcklznxq            
17 - 146gqthree85twoseven                               - 146gqth3ee85t2ose7ven                             
76 - vlvxlmkfpcxsstsevencdbbdsix6                       - vlvxlmkfpcxsstse7vencdbbdsi6x6                    
58 - 5sixseven48                                        - 5si6xse7ven48                                     
39 - llljbtxtrrpssrfthree9dpvrndphhn                    - llljbtxtrrpssrfth3ee9dpvrndphhn                   
55 - qkhvq5                                             - qkhvq5                                            
34 - svrfthree8bdhjshcftdnine4                          - svrfth3ee8bdhjshcftdni9ne4                        
55 - nfqnfkpchl5pcstz                                   - nfqnfkpchl5pcstz                                  
58 - pbx5mfkfour8                                       - pbx5mfkfo4ur8                                     
29 - cptwonethreeptwo9gzmlkv9                           - cpt2o1eth3eept2o9gzmlkv9                          
64 - gdpkprlzr6466fxlvfour                              - gdpkprlzr6466fxlvfo4ur                            
54 - dlnpklqtfivesixfptrdh9four                         - dlnpklqtfi5vesi6xfptrdh9fo4ur                     
11 - onedpfskdd38qfvbjdnpglone                          - o1edpfskdd38qfvbjdnpglo1e                         
45 - 4sevenseven5qf                                     - 4se7vense7ven5qf                                  
13 - onepgmmhlgmtvone3c                                 - o1epgmmhlgmtvo1e3c                                
27 - 247tsnmkd                                          - 247tsnmkd                                         
33 - threeznnnbtfive5tmdfxtwothree3ndjcszrb             - th3eeznnnbtfi5ve5tmdfxt2oth3ee3ndjcszrb           
11 - oneeight6rhfiveone                                 - o1eei8ght6rhfi5veo1e                              
37 - threethreethreestvgljm4seven                       - th3eeth3eeth3eestvgljm4se7ven                     
38 - bfbrk3vqsmone39hzzxdgp6eight                       - bfbrk3vqsmo1e39hzzxdgp6ei8ght                     
98 - 98rndphxhcbl                                       - 98rndphxhcbl                                      
57 - 57fourlntgdngzpdsjkbbxnv7                          - 57fo4urlntgdngzpdsjkbbxnv7                        
24 - twons4                                             - t2ons4                                            
32 - three4threesixtwo2hf                               - th3ee4th3eesi6xt2o2hf                             
77 - lgqtcllzsevenhrrhqsmsnncmlz7                       - lgqtcllzse7venhrrhqsmsnncmlz7                     
83 - 8fnngjrxtljncbvlt7ninehfzrthree                    - 8fnngjrxtljncbvlt7ni9nehfzrth3ee                  
11 - 12mltqtqqrvjmjsbthnzpdjtwo1                        - 12mltqtqqrvjmjsbthnzpdjt2o1                       
12 - lf1onevdmn2                                        - lf1o1evdmn2                                       
36 - 3twozlqnddmrsixslphpvb                             - 3t2ozlqnddmrsi6xslphpvb                           
54 - five4nrtcjmvj                                      - fi5ve4nrtcjmvj                                    
77 - cksgmkszrbsrgfkq7tqjxsshxxh7vngsnjt                - cksgmkszrbsrgfkq7tqjxsshxxh7vngsnjt               
57 - mfiveone7                                          - mfi5veo1e7                                        
23 - kkvtwone5sevenfcfnngpmjktrpxk7djgzmdthreehpp       - kkvt2o1e5se7venfcfnngpmjktrpxk7djgzmdth3eehpp     
48 - fxbgtcjp4pxpjv5rbfllhfcpfive8                      - fxbgtcjp4pxpjv5rbfllhfcpfi5ve8                    
26 - 2gxrkjdtvxmnvs76                                   - 2gxrkjdtvxmnvs76                                  
81 - npvvleightlpd354vrfh1                              - npvvlei8ghtlpd354vrfh1                            
66 - zbnzdlzpqzsixnine4sevenqtddzzm6                    - zbnzdlzpqzsi6xni9ne4se7venqtddzzm6                
68 - 6cxrhdvzbmthree98                                  - 6cxrhdvzbmth3ee98                                 
74 - 77eightnine32four                                  - 77ei8ghtni9ne32fo4ur                              
51 - 56tshj77one                                        - 56tshj77o1e                                       
15 - 161xk26mspxkchfourfive                             - 161xk26mspxkchfo4urfi5ve                          
17 - onenineljnsmvmfb7                                  - o1eni9neljnsmvmfb7                                
62 - 6hxvmqtwo                                          - 6hxvmqt2o                                         
93 - khzninetwo3pbtsqxlqj3                              - khzni9net2o3pbtsqxlqj3                            
13 - 1nine3                                             - 1ni9ne3                                           
66 - 6xrzjskblfq                                        - 6xrzjskblfq                                       
19 - kbtsbckkonethreetwofour7lgcbxmjkjpnine             - kbtsbckko1eth3eet2ofo4ur7lgcbxmjkjpni9ne          
57 - fivethreecrjznine7                                 - fi5veth3eecrjzni9ne7                              
88 - 8qxjdsspgn                                         - 8qxjdsspgn                                        
19 - vdoneightsix7h9                                    - vdo1ei8ghtsi6x7h9                                 
55 - 5bsjl                                              - 5bsjl                                             
33 - gfllsrrrmzbfqdrlnvtdzr3                            - gfllsrrrmzbfqdrlnvtdzr3                           
72 - 7hs2                                               - 7hs2                                              
12 - 1onelseventwo                                      - 1o1else7vent2o                                    
53 - fivetwo3                                           - fi5vet2o3                                         
27 - 2gnxv9sevenseven                                   - 2gnxv9se7vense7ven                                
65 - gmmhshzvsixzssixseven6fivehbdvsjdz                 - gmmhshzvsi6xzssi6xse7ven6fi5vehbdvsjdz            
76 - 75onegckzsnpnine1xfslhfour6                        - 75o1egckzsnpni9ne1xfslhfo4ur6                     
69 - sixgjhnfvsjnrsixeightnine49                        - si6xgjhnfvsjnrsi6xei8ghtni9ne49                   
92 - nineseven929rlsdkcpbjrjdlptjbzp2                   - ni9nese7ven929rlsdkcpbjrjdlptjbzp2                
94 - 9hbpplffngltfourpgk                                - 9hbpplffngltfo4urpgk                              
23 - twoldknnqxkkvvdjldqthree373                        - t2oldknnqxkkvvdjldqth3ee373                       
82 - cceight9two                                        - ccei8ght9t2o                                      
86 - zmeightwohkgs6                                     - zmei8ght2ohkgs6                                   
64 - 6sevenfdmqkss4fivethreesevenfourqfnsvvsj           - 6se7venfdmqkss4fi5veth3eese7venfo4urqfnsvvsj      
49 - 4two9njeightnine                                   - 4t2o9njei8ghtni9ne                                
28 - two3gzseveneightfour88eight                        - t2o3gzse7venei8ghtfo4ur88ei8ght                   
22 - 2clqj                                              - 2clqj                                             
11 - 1ndvbhbtql                                         - 1ndvbhbtql                                        
55 - five4sixseven5ghlgbmdgfnqpfdm                      - fi5ve4si6xse7ven5ghlgbmdgfnqpfdm                  
34 - 34dt                                               - 34dt                                              
95 - 9sevenrl5                                          - 9se7venrl5                                        
68 - dpbpqppsixngvmkflllcrtn8                           - dpbpqppsi6xngvmkflllcrtn8                         
63 - sixgvsctkrp53sbsx                                  - si6xgvsctkrp53sbsx                                
94 - nine9qdrqfourjc                                    - ni9ne9qdrqfo4urjc                                 
24 - zvppfjpqch24                                       - zvppfjpqch24                                      
46 - sg4txzzfoursevenninethreesqcdznksix                - sg4txzzfo4urse7venni9neth3eesqcdznksi6x           
12 - one3six2                                           - o1e3si6x2                                         
52 - 5bgdjzxbrlsl3sixlbxtjdpgfkjmq2                     - 5bgdjzxbrlsl3si6xlbxtjdpgfkjmq2                   
36 - drsldhgjtrvmmz3jgrp6                               - drsldhgjtrvmmz3jgrp6                              
89 - qkeightwosix95nine445cfnine                        - qkei8ght2osi6x95ni9ne445cfni9ne                   
59 - fivetwo82scjct7onegblrqrggv9                       - fi5vet2o82scjct7o1egblrqrggv9                     
39 - threepfgljkghzc9                                   - th3eepfgljkghzc9                                  
89 - 8qvzljppstpnpeight9                                - 8qvzljppstpnpei8ght9                              
88 - 8nine98tkxcfqtg                                    - 8ni9ne98tkxcfqtg                                  
72 - sevensix4two                                       - se7vensi6x4t2o                                    
23 - 2eightthree                                        - 2ei8ghtth3ee                                      
67 - cvhhmcgknj6threefive87                             - cvhhmcgknj6th3eefi5ve87                           
72 - seveneight7dsvqnjsjsqlkeightwovzt                  - se7venei8ght7dsvqnjsjsqlkei8ght2ovzt              
78 - 71oneseven9fiveeightnh                             - 71o1ese7ven9fi5veei8ghtnh                         
33 - pdjtzxbgjxb3vzfdnjbthree                           - pdjtzxbgjxb3vzfdnjbth3ee                          
45 - xqpfourmpddnfcc4one5                               - xqpfo4urmpddnfcc4o1e5                             
11 - jnrms1fkssgpvvlrmf                                 - jnrms1fkssgpvvlrmf                                
89 - jbnkeightone6zldns85sixnine                        - jbnkei8ghto1e6zldns85si6xni9ne                    
14 - 1fourbqfgxscdxmkvdpsrm                             - 1fo4urbqfgxscdxmkvdpsrm                           
84 - eightsixone8mjbrqkplkqntjdlfourpjdcs               - ei8ghtsi6xo1e8mjbrqkplkqntjdlfo4urpjdcs           
61 - lxdsp6prmfglvdfz9eight7sevensixone                 - lxdsp6prmfglvdfz9ei8ght7se7vensi6xo1e             
67 - qdksixvmsevent7xlvmtzdkhb                          - qdksi6xvmse7vent7xlvmtzdkhb                       
82 - 8spqjvhplpzldpthree2                               - 8spqjvhplpzldpth3ee2                              
72 - zqfvpq7pz22                                        - zqfvpq7pz22                                       
41 - nnfbpfour1                                         - nnfbpfo4ur1                                       
12 - one9ninetwovrclctwo                                - o1e9ni9net2ovrclct2o                              
37 - 344six98seven                                      - 344si6x98se7ven                                   
99 - kqkj9qqvfxn                                        - kqkj9qqvfxn                                       
73 - seven1fivethree                                    - se7ven1fi5veth3ee                                 
22 - shlnhgq2c3oneseveneightwodv                        - shlnhgq2c3o1ese7venei8ght2odv                     
82 - eightthreepkcxlk7threeonethreetwo                  - ei8ghtth3eepkcxlk7th3eeo1eth3eet2o                
59 - pgmbhrzzqmvkjl57fourqk8gxjmbfqcjs9                 - pgmbhrzzqmvkjl57fo4urqk8gxjmbfqcjs9               
88 - eight5oneights                                     - ei8ght5o1ei8ghts                                  
98 - ninenineeightvkrsrkgh8                             - ni9neni9neei8ghtvkrsrkgh8                         
41 - svnfdxxftkgzpjqxzkmbbcfourvfsg3two6twonezqn        - svnfdxxftkgzpjqxzkmbbcfo4urvfsg3t2o6t2o1ezqn      
33 - mnvqcmkqvjlqvtltgdpktr3dkgkbt                      - mnvqcmkqvjlqvtltgdpktr3dkgkbt                     
68 - sixmg29pplfzrsqhlvfeight                           - si6xmg29pplfzrsqhlvfei8ght                        
43 - glzsbmzqjj43                                       - glzsbmzqjj43                                      
17 - 1zqrnpqrcbzdsnfour67zpsxpkbbkmfgrzm                - 1zqrnpqrcbzdsnfo4ur67zpsxpkbbkmfgrzm              
69 - kxbbcjjksix7sixeightnine                           - kxbbcjjksi6x7si6xei8ghtni9ne                      
57 - zbnhsdxgt5sixsixeightlsdqrgseven                   - zbnhsdxgt5si6xsi6xei8ghtlsdqrgse7ven              
98 - ninezxrllznbcvmldxfbvjx5fivedtpdhsjgk8             - ni9nezxrllznbcvmldxfbvjx5fi5vedtpdhsjgk8          
87 - reightwo7                                          - rei8ght2o7                                        
52 - fiveninenftgfourjbdkxtxcb38two                     - fi5veni9nenftgfo4urjbdkxtxcb38t2o                 
64 - sixlpck4sixzcppvhzkchmnpvqjjgffourj                - si6xlpck4si6xzcppvhzkchmnpvqjjgffo4urj            
32 - 34pmfdthreetwo                                     - 34pmfdth3eet2o                                    
73 - 7zbnnkqone5three                                   - 7zbnnkqo1e5th3ee                                  
57 - qxkmhcllcqkk5qrqseven47                            - qxkmhcllcqkk5qrqse7ven47                          
18 - one62brghc8s                                       - o1e62brghc8s                                      
23 - twotwo1xvgcxbthree                                 - t2ot2o1xvgcxbth3ee                                
38 - three83dfqgjlc8eight                               - th3ee83dfqgjlc8ei8ght                             
22 - twofive8l1twocqmcccgdm                             - t2ofi5ve8l1t2ocqmcccgdm                           
29 - two6cnine                                          - t2o6cni9ne                                        
22 - h2sfnczjmslpmlvdlzrs                               - h2sfnczjmslpmlvdlzrs                              
98 - 9nbblsvxbhdxqfour8                                 - 9nbblsvxbhdxqfo4ur8                               
65 - kfzcsg6sixonevrbchsjtfivenbz                       - kfzcsg6si6xo1evrbchsjtfi5venbz                    
29 - mgtlqcdtwo7qxmszcqpjdplccxzccsixone5nine           - mgtlqcdt2o7qxmszcqpjdplccxzccsi6xo1e5ni9ne        
18 - mtfpphckdn1eightpdtkssqlxdhtlmcjxb                 - mtfpphckdn1ei8ghtpdtkssqlxdhtlmcjxb               
28 - jbphmjjjrg2159eight                                - jbphmjjjrg2159ei8ght                              
11 - zqskrzb1pgfouronevxscgtlccl                        - zqskrzb1pgfo4uro1evxscgtlccl                      
88 - lxvpgrck8fxhxm                                     - lxvpgrck8fxhxm                                    
41 - fournrnlfive1xt                                    - fo4urnrnlfi5ve1xt                                 
33 - 3nsjnb                                             - 3nsjnb                                            
89 - eight1three513nine                                 - ei8ght1th3ee513ni9ne                              
31 - 39eightsevenfourbgd1mbljzone                       - 39ei8ghtse7venfo4urbgd1mbljzo1e                   
62 - 6two88five2pjpp                                    - 6t2o88fi5ve2pjpp                                  
41 - fourjlftf7six1xsktfhcdff                           - fo4urjlftf7si6x1xsktfhcdff                        
32 - 3kcntzlmnnhhmtmlftggqljkrvninetwo                  - 3kcntzlmnnhhmtmlftggqljkrvni9net2o                
34 - threesixonexlvxrblq24                              - th3eesi6xo1exlvxrblq24                            
42 - xpgzzrcckdlnrczxndplbpcb452                        - xpgzzrcckdlnrczxndplbpcb452                       
91 - ninembdnhhnhhzmvmtdjtkzmb9ncq9one                  - ni9nembdnhhnhhzmvmtdjtkzmb9ncq9o1e                
42 - 4fivebrqrxftwo                                     - 4fi5vebrqrxft2o                                   
86 - 84tqzbcvgdrgpzpxjrone83zgzpsix                     - 84tqzbcvgdrgpzpxjro1e83zgzpsi6x                   
95 - 99five                                             - 99fi5ve                                           
73 - mgsevenqgkckfhbfnine3                              - mgse7venqgkckfhbfni9ne3                           
23 - 2seventhree                                        - 2se7venth3ee                                      
85 - 8fivethreefive2fivethreefive                       - 8fi5veth3eefi5ve2fi5veth3eefi5ve                  
77 - scrtqsevenjmxlvjrrbdtqgrdghfivethree7seven         - scrtqse7venjmxlvjrrbdtqgrdghfi5veth3ee7se7ven     
74 - sevensix946onesevenfour                            - se7vensi6x946o1ese7venfo4ur                       
14 - dzn14                                              - dzn14                                             
93 - nineqbxvponekvfffs96zjfhpthree                     - ni9neqbxvpo1ekvfffs96zjfhpth3ee                   
51 - 53twoqknxnxqbcone                                  - 53t2oqknxnxqbco1e                                 
17 - fhonerone7fourpmxskkmmx7                           - fho1ero1e7fo4urpmxskkmmx7                         
87 - eightlq4fourfourdbsdrvhhs17                        - ei8ghtlq4fo4urfo4urdbsdrvhhs17                    
51 - nnpgtgcbvrggctbtkzht5xmkhtnnn7brpxjcxdrone         - nnpgtgcbvrggctbtkzht5xmkhtnnn7brpxjcxdro1e        
37 - threecxnqkmrrpmzdljstdbfmk5seven                   - th3eecxnqkmrrpmzdljstdbfmk5se7ven                 
78 - sdptbzqhn7sixnine8                                 - sdptbzqhn7si6xni9ne8                              
57 - five7jdzdzfqfivesevengtznjmqrblkkzkgvt             - fi5ve7jdzdzfqfi5vese7vengtznjmqrblkkzkgvt         
46 - fclvllfthx47sixbhq16                               - fclvllfthx47si6xbhq16                             
99 - 9mbmsxbn                                           - 9mbmsxbn                                          
34 - three82fiveseven4                                  - th3ee82fi5vese7ven4                               
13 - p1kzmzpbhmcthree                                   - p1kzmzpbhmcth3ee                                  
88 - eightj3681nmgt8                                    - ei8ghtj3681nmgt8                                  
27 - 2two7                                              - 2t2o7                                             
84 - jdbjlvxhhzzsnmcqldrldeight6nine4                   - jdbjlvxhhzzsnmcqldrldei8ght6ni9ne4                
25 - 2threefive                                         - 2th3eefi5ve                                       
45 - foursevenrmfhjvzdv8bpbrvblll1onetwofive            - fo4urse7venrmfhjvzdv8bpbrvblll1o1et2ofi5ve        
65 - 65cfgkcrhbjk                                       - 65cfgkcrhbjk                                      
62 - 6onecjxzxb72gmrblthx                               - 6o1ecjxzxb72gmrblthx                              
49 - 4jlrvckc9                                          - 4jlrvckc9                                         
17 - doneightghmjzzrfourfdzxflm51nineseven7xkxt         - do1ei8ghtghmjzzrfo4urfdzxflm51ni9nese7ven7xkxt    
51 - r5eightone                                         - r5ei8ghto1e                                       
11 - nkgknm1                                            - nkgknm1                                           
44 - rxbsnnzbrs4two4                                    - rxbsnnzbrs4t2o4                                   
11 - 1pqvmfh                                            - 1pqvmfh                                           
25 - r2vpdpkzqcs85                                      - r2vpdpkzqcs85                                     
98 - gtfzjnnhsknvjnmnine98                              - gtfzjnnhsknvjnmni9ne98                            
44 - zrdgv4hnbpb                                        - zrdgv4hnbpb                                       
73 - 7one165vddbrzpmfhskvzxdh3                          - 7o1e165vddbrzpmfhskvzxdh3                         
48 - 44szfpgjmvgt4eight                                 - 44szfpgjmvgt4ei8ght                               
65 - dbgttrbj6five85nsqmzscksvdxks                      - dbgttrbj6fi5ve85nsqmzscksvdxks                    
22 - ffkrhbvq2                                          - ffkrhbvq2                                         
64 - 6fourbpjrdvlk                                      - 6fo4urbpjrdvlk                                    
36 - 38eightsix                                         - 38ei8ghtsi6x                                      
25 - two4fivedzpgfbtm                                   - t2o4fi5vedzpgfbtm                                 
36 - 3jbk46                                             - 3jbk46                                            
39 - slpkmrstrrvthreepl9bhctdfnfzc                      - slpkmrstrrvth3eepl9bhctdfnfzc                     
95 - nine4two5kkfmcjgxbqkttg                            - ni9ne4t2o5kkfmcjgxbqkttg                          
11 - 1zppnmcr5sjfsbbxh48one                             - 1zppnmcr5sjfsbbxh48o1e                            
85 - 8one8fourseven5                                    - 8o1e8fo4urse7ven5                                 
66 - 6three7nineeight6                                  - 6th3ee7ni9neei8ght6                               
93 - 96three                                            - 96th3ee                                           
91 - 91twonelt                                          - 91t2o1elt                                         
53 - 5sevenone2sixthreeknhzm                            - 5se7veno1e2si6xth3eeknhzm                         
28 - 2fvhgcbvg7sevenzqdtftct7tvvtkpxbrq8                - 2fvhgcbvg7se7venzqdtftct7tvvtkpxbrq8              
99 - 9nvr                                               - 9nvr                                              
89 - eightfivetwodjg9                                   - ei8ghtfi5vet2odjg9                                
76 - 7four2six                                          - 7fo4ur2si6x                                       
53 - 5fkzgffzpgp3                                       - 5fkzgffzpgp3                                      
75 - 75sevenfive                                        - 75se7venfi5ve                                     
23 - mxtwonexsdrpkqzgm1threejqftvl                      - mxt2o1exsdrpkqzgm1th3eejqftvl                     
15 - onekxffhsqb4dkb9fivefvtcjsd                        - o1ekxffhsqb4dkb9fi5vefvtcjsd                      
84 - eightone1eighteight4                               - ei8ghto1e1ei8ghtei8ght4                           
84 - glfeight7eight4                                    - glfei8ght7ei8ght4                                 
82 - eightcdfjjfiveeight4fivetwo                        - ei8ghtcdfjjfi5veei8ght4fi5vet2o                   
35 - npxnp32kfsfjpggdtpkm5                              - npxnp32kfsfjpggdtpkm5                             
73 - seven7threevcb                                     - se7ven7th3eevcb                                   
21 - xtcvsmdx2four2twonefl                              - xtcvsmdx2fo4ur2t2o1efl                            
28 - mzkgnzstwo844dcseight                              - mzkgnzst2o844dcsei8ght                            
13 - zgoneight65z1seven3                                - zgo1ei8ght65z1se7ven3                             
15 - 1two5lc                                            - 1t2o5lc                                           
37 - threevsrg5vdmfvpss27qzrmvmbz                       - th3eevsrg5vdmfvpss27qzrmvmbz                      
77 - 7qbcnjg1nine1seven3seven                           - 7qbcnjg1ni9ne1se7ven3se7ven                       
54 - 5fourxdxrhmxsj                                     - 5fo4urxdxrhmxsj                                   
78 - v78                                                - v78                                               
49 - 41nine                                             - 41ni9ne                                           
54 - 56fmktkxvltp4bztxkqfrdthreefive4                   - 56fmktkxvltp4bztxkqfrdth3eefi5ve4                 
41 - fourdnq1                                           - fo4urdnq1                                         
37 - ctlk31srscmmdn66sevendmjjqvgj                      - ctlk31srscmmdn66se7vendmjjqvgj                    
75 - b7nine8ninejqqhhdnnpx5                             - b7ni9ne8ni9nejqqhhdnnpx5                          
97 - ninedlxdshrzfmrnnq17                               - ni9nedlxdshrzfmrnnq17                             
81 - jbneightwofiversjctwogvvtprslpgfour9xcone          - jbnei8ght2ofi5versjct2ogvvtprslpgfo4ur9xco1e      
56 - dpt5hbgbnmdlthree5sixvsvqtnmndpvv                  - dpt5hbgbnmdlth3ee5si6xvsvqtnmndpvv                
72 - sevenrztpgr8nine2                                  - se7venrztpgr8ni9ne2                               
48 - four9three1keightbmljrjgxkrbjdhbckbst              - fo4ur9th3ee1kei8ghtbmljrjgxkrbjdhbckbst           
41 - sfmztfjh49one                                      - sfmztfjh49o1e                                     
72 - seven3three7eightwovs                              - se7ven3th3ee7ei8ght2ovs                           
44 - 48onetwosix4four4ntvrzvdztr                        - 48o1et2osi6x4fo4ur4ntvrzvdztr                     
27 - mphtwone5sevenfour7                                - mpht2o1e5se7venfo4ur7                             
41 - 4lgqnbdlone                                        - 4lgqnbdlo1e                                       
85 - hpnmtjbcdhfhsnxqhjhhfgteighteight8one5             - hpnmtjbcdhfhsnxqhjhhfgtei8ghtei8ght8o1e5          
22 - cgtdtt22                                           - cgtdtt22                                          
81 - plnbntcb8seven1gkgzngxq                            - plnbntcb8se7ven1gkgzngxq                          
74 - 7bonethreefour                                     - 7bo1eth3eefo4ur                                   
48 - ffoureight88                                       - ffo4urei8ght88                                    
23 - z2four3dfggfntxjbjhdr9three                        - z2fo4ur3dfggfntxjbjhdr9th3ee                      
52 - 5sixgpcm9two                                       - 5si6xgpcm9t2o                                     
63 - sixpnlcgbcpdsixtwofour4foursix3                    - si6xpnlcgbcpdsi6xt2ofo4ur4fo4ursi6x3              
82 - dstgjlh812                                         - dstgjlh812                                        
